שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אביגדור,819,568,457,1,456,135,0,0,0,0,0,1,7,0,1,28,0,11,42,48,0,0,3,0,0,0,102,1,0,0,0,0,4,59,0,0,4,1,9
אביחיל,175,952,725,7,718,157,0,0,0,1,0,2,19,0,0,35,0,44,71,79,0,0,1,0,0,0,192,0,0,0,1,0,9,91,0,0,9,4,3
אביטל,2052,376,262,1,261,19,1,0,0,0,0,0,0,0,0,54,0,10,97,1,0,0,37,0,0,0,15,2,0,0,0,0,1,3,0,1,4,0,16
אביעזר,1070,458,363,4,359,45,0,1,0,0,0,1,7,0,1,63,2,1,87,20,0,0,8,0,0,1,56,5,0,0,0,0,17,18,0,0,3,1,22
אבירים,1220,162,127,1,126,27,2,0,0,0,0,6,4,0,0,5,0,1,9,32,0,0,3,0,0,0,16,0,0,0,0,0,0,13,0,0,5,0,3
אבן יהודה,182,8848,6798,38,6760,1259,40,1,0,2,0,14,100,0,9,421,2,152,1244,549,0,1,45,1,1,2,1987,55,2,0,3,0,95,535,1,3,76,12,148
אבן מנחם,1081,265,163,1,162,6,1,0,0,0,0,0,0,0,0,4,0,10,60,5,0,0,0,0,0,0,14,0,0,0,0,0,10,6,0,0,2,1,43
אבן ספיר,783,468,332,3,329,29,0,0,0,0,0,1,2,0,1,25,0,25,184,6,0,0,4,0,0,0,9,0,0,0,0,0,6,10,0,0,8,3,16
אבן שמואל,400,477,418,4,414,2,9,0,0,0,0,0,1,0,1,245,0,1,36,0,0,0,35,0,0,0,3,5,0,0,0,0,10,2,0,0,3,0,61
אבני איתן,4011,354,272,0,272,4,2,0,0,0,0,0,0,0,0,154,0,1,31,0,0,0,42,0,0,0,4,10,0,0,0,0,10,1,0,1,1,1,10
אבני חפץ,3793,767,644,4,640,1,4,0,0,0,0,0,0,0,0,390,0,1,58,0,0,0,91,0,0,0,2,46,0,0,0,0,1,1,0,0,4,0,41
אבשלום,1311,170,112,2,110,7,1,0,1,0,0,0,0,0,0,4,5,0,64,2,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,4,2,3
אדורה,3759,179,144,0,144,9,0,0,0,0,0,0,0,0,0,53,1,1,30,1,0,0,8,0,0,0,15,0,0,0,0,0,3,19,0,0,1,0,3
אדירים,113,188,155,0,155,0,4,0,0,0,0,0,1,0,0,24,0,2,39,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,2,0,70
אדמית,1068,271,116,1,115,22,0,0,0,0,1,1,4,0,0,2,0,0,18,35,0,0,0,0,2,0,10,0,0,0,0,0,1,4,0,0,10,1,4
אדרת,1123,435,322,1,321,15,0,0,0,0,0,1,0,0,0,77,0,3,129,8,0,0,2,0,0,0,7,1,0,0,0,0,17,5,0,0,5,2,49
אודים,446,685,555,1,554,104,0,0,0,0,0,3,19,0,1,25,0,21,63,66,0,0,2,0,0,0,186,0,0,0,0,0,7,45,0,0,8,2,2
אודם,4010,94,63,0,63,8,0,0,0,0,0,0,4,0,0,5,0,5,11,3,0,0,0,0,0,0,12,0,0,0,0,0,1,11,0,0,3,0,0
אוהד,1046,231,163,1,162,19,0,0,0,0,0,0,1,0,0,12,0,12,46,8,0,0,4,0,0,0,20,0,0,0,0,0,3,18,0,2,5,0,12
אום אל-פחם,2710,28254,16032,188,15844,89,19,3520,1,6,5,7872,4,0,1,8,1,7,19,194,2,3,0,6,3758,3,15,3,2,0,2,4,30,92,9,53,7,4,105
אום אל-קוטוף,2024,570,312,2,310,13,1,85,0,0,0,26,0,0,0,0,0,0,4,37,0,0,0,0,134,0,0,0,0,0,0,0,2,0,0,3,1,1,3
אום בטין,1358,1058,528,7,521,6,0,61,1,0,0,2,0,0,0,3,0,0,8,1,0,0,1,2,372,0,1,0,0,0,0,0,0,1,2,1,2,0,57
אומן,1108,276,150,4,146,16,1,0,0,0,0,0,0,0,0,23,0,2,63,2,0,0,3,0,0,1,17,1,0,0,1,0,1,6,0,0,3,0,6
אומץ,680,452,343,4,339,99,0,0,0,0,0,0,4,0,1,12,0,12,29,24,0,0,0,0,0,0,111,2,0,0,0,0,4,35,0,0,3,0,3
אופקים,31,18364,10879,144,10735,443,1564,5,2,7,2,9,25,0,7,1077,96,158,2924,74,1,5,172,5,5,4,481,100,5,0,8,4,110,431,11,4,112,13,2871
אור הגנוז,1294,161,104,2,102,0,45,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46
אור הנר,67,512,394,1,393,163,0,0,0,0,0,1,7,0,0,6,0,53,19,52,0,0,3,1,0,0,46,0,0,0,0,0,3,31,0,0,5,1,2
אור יהודה,2400,25851,16278,259,16019,1431,128,3,3,59,2,22,47,0,17,913,17,485,5265,291,5,0,238,5,13,1,2220,207,68,0,19,7,139,759,11,8,140,34,3462
אור עקיבא,1020,14128,7411,129,7282,367,44,1,2,6,6,2,31,0,24,742,84,169,3345,82,1,3,102,8,1,6,547,146,11,0,5,5,89,216,5,5,97,13,1117
אורה,780,770,556,2,554,67,2,0,0,0,1,2,4,0,0,52,0,40,147,26,0,0,12,0,0,0,58,9,0,0,0,0,35,34,0,1,11,1,52
אורות,2012,401,285,0,285,96,0,0,0,0,0,0,3,0,0,16,0,6,38,28,0,0,2,0,0,0,51,0,0,0,0,0,8,23,0,0,9,2,3
אורטל,4013,198,142,0,142,32,0,0,0,0,0,0,0,0,0,14,0,1,17,6,0,0,0,0,0,0,53,0,0,0,0,0,5,9,0,0,2,1,2
אורים,403,437,254,2,252,118,0,0,0,0,0,9,4,0,0,6,1,6,15,44,0,0,1,0,0,2,28,0,0,0,0,0,1,11,0,2,3,0,1
אורנית,3760,5049,3999,20,3979,432,11,0,0,2,0,3,39,0,10,586,1,71,1062,105,0,1,38,3,0,1,1192,15,0,0,1,0,54,214,0,1,52,11,74
אושה,278,337,232,4,228,103,0,0,0,0,0,1,6,0,0,1,0,0,19,26,0,0,0,0,0,0,45,0,0,0,0,0,6,16,0,0,4,1,0
אזור,565,9183,6204,68,6136,882,56,0,2,5,1,4,65,0,13,463,19,139,1750,151,2,2,84,0,2,0,1266,42,3,0,0,3,60,409,4,3,75,16,615
אחווה,1157,181,144,0,144,41,2,0,0,1,0,0,1,0,0,13,0,4,20,7,0,0,1,0,0,0,28,1,0,0,0,0,3,16,0,0,2,0,4
אחוזם,821,350,227,2,225,3,2,0,0,0,0,0,0,0,0,52,0,13,90,0,0,0,1,0,2,0,4,2,0,0,0,0,2,1,0,0,7,0,46
אחוזת ברק,1330,1277,963,8,955,193,4,0,0,0,0,1,6,0,3,78,2,19,236,25,0,0,16,0,0,0,274,0,1,0,0,0,13,61,0,2,7,1,13
אחיהוד,785,530,406,2,404,13,5,0,0,0,0,0,2,0,0,104,0,4,150,2,0,0,15,0,0,0,7,51,0,0,1,0,7,5,0,0,0,1,37
אחיטוב,850,645,453,2,451,59,1,0,0,0,0,0,3,0,1,42,0,38,118,7,0,0,1,0,0,0,94,0,0,0,1,1,5,46,1,0,7,1,25
אחיסמך,804,811,586,3,583,20,3,0,0,0,0,0,0,0,1,29,0,32,157,0,0,0,4,1,0,0,21,3,0,0,0,0,5,8,0,0,2,0,297
אחיעזר,797,972,765,1,764,5,10,0,0,0,0,0,3,0,0,172,0,3,105,0,0,0,23,0,0,0,11,90,0,0,0,0,5,1,0,2,3,2,329
אטרש (שבט),965,1534,442,7,435,5,0,30,0,0,0,3,1,0,2,1,0,0,3,6,0,0,0,0,168,1,0,0,1,0,0,3,0,2,2,1,1,1,204
איבים,338,118,14,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,2
אייל,716,361,290,1,289,126,0,0,0,0,0,1,2,0,0,4,0,4,17,26,0,0,3,0,0,0,67,0,0,0,0,0,4,29,0,0,5,1,0
איילת השחר,77,832,600,4,596,267,1,0,0,1,1,2,16,0,1,14,1,15,72,49,3,4,1,1,0,1,71,0,1,0,0,0,6,52,2,3,4,3,4
אילון,294,757,569,2,567,136,0,0,0,0,0,5,13,0,0,23,0,7,57,210,0,0,1,0,0,0,67,0,0,0,0,0,8,28,0,0,8,1,3
אילות,1126,261,179,0,179,71,0,0,0,0,0,2,1,0,0,4,0,5,19,20,0,0,0,0,0,0,37,0,0,0,0,0,1,11,0,0,7,0,1
אילניה,49,407,279,3,276,62,0,0,0,1,0,1,10,0,0,20,0,11,81,9,0,0,3,0,0,0,40,1,0,0,0,0,2,23,0,0,5,2,5
אילת,2600,45466,19582,255,19327,2243,52,24,2,30,2,59,141,0,45,1772,66,596,5843,474,7,13,335,12,31,50,3436,134,13,0,8,16,228,1605,15,16,445,61,1553
איתמר,3762,453,349,0,349,1,4,0,0,0,0,0,0,0,0,192,0,0,22,1,0,0,114,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,9
איתן,37,304,223,1,222,4,2,0,0,0,0,0,1,0,0,44,0,9,42,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,103
אכסאל,478,7715,3606,46,3560,28,8,612,0,2,1,1286,3,0,1,1,1,1,90,206,0,0,2,1,1071,2,48,1,1,0,3,2,4,31,1,3,1,4,145
אל סייד,1359,293,136,1,135,19,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,0,1,0,0,0,0,0,0,1,0,0,0,0,30
אל-עריאן,1316,107,78,0,78,1,0,36,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,1,0
אל-רום,4003,285,186,1,185,69,0,0,0,0,0,2,3,0,0,2,0,2,13,25,1,0,1,0,0,0,34,0,0,0,0,0,0,25,0,0,7,1,0
אלומה,1145,285,254,0,254,0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,168
אלומות,330,239,163,2,161,68,1,0,0,0,0,0,2,0,0,4,0,3,7,29,0,0,0,0,0,0,36,0,0,0,0,0,3,5,0,0,2,1,0
אלון הגליל,1182,664,511,1,510,181,0,0,0,0,0,2,4,0,0,6,0,4,36,101,0,0,5,0,0,0,109,0,0,0,0,0,3,47,0,2,7,3,0
אלון מורה,3579,885,722,7,715,2,1,0,0,0,0,0,0,0,0,396,0,0,93,0,0,0,191,0,0,0,6,10,0,0,0,0,1,0,0,0,2,0,13
אלון שבות,3604,1885,1559,12,1547,24,10,0,0,0,0,0,0,0,0,1078,0,1,228,5,0,0,117,0,0,0,23,1,0,0,1,2,36,3,0,0,7,0,11
אלוני אבא,429,550,462,0,462,136,0,0,0,1,0,2,4,0,0,10,0,5,41,65,0,0,0,0,0,0,133,1,0,0,0,0,6,54,1,0,2,0,1
אלוני הבשן,4017,168,140,0,140,2,0,0,0,0,0,0,0,0,0,99,0,0,21,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
אלוני יצחק,868,115,28,0,28,9,0,0,0,0,0,1,0,0,0,4,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0
אלונים,285,509,388,1,387,195,1,0,0,0,0,0,7,0,0,8,0,10,13,35,0,0,2,0,0,0,82,0,0,0,0,0,0,21,0,0,9,2,2
אלי-עד,4002,239,172,0,172,36,0,0,0,0,0,0,10,0,0,32,0,2,12,10,0,0,1,0,0,0,41,1,0,0,0,0,4,10,0,0,9,2,2
אליכין,41,2295,1688,12,1676,157,18,0,0,0,0,2,19,0,0,268,1,38,474,26,0,0,33,0,0,0,156,173,0,0,1,1,38,36,1,0,18,2,214
אליפלט,730,410,263,2,261,9,1,0,0,0,2,0,0,0,0,34,0,9,130,0,0,0,6,0,0,0,13,7,0,0,1,0,0,16,0,0,3,2,28
אליקים,682,521,372,2,370,10,7,0,0,0,0,0,2,0,0,56,0,13,110,4,0,0,9,0,0,0,22,93,0,0,0,2,7,3,2,0,0,1,29
אלישיב,204,449,349,4,345,29,4,0,0,0,0,1,0,0,1,48,0,23,103,12,0,0,5,1,0,0,30,12,0,0,1,0,17,15,0,0,6,0,37
אלישמע,841,757,586,3,583,67,1,0,0,56,0,1,2,0,1,53,0,19,170,6,0,0,3,0,0,1,54,4,0,0,1,0,5,40,1,0,10,2,86
אלמגור,1125,253,204,0,204,46,0,0,0,0,0,2,10,0,0,3,0,6,12,26,1,0,0,0,0,0,57,1,0,0,0,0,3,32,0,0,4,1,0
אלמוג,3556,140,104,0,104,57,0,1,0,0,0,0,0,0,0,1,0,2,10,2,0,0,2,0,0,0,18,0,0,0,0,0,3,5,0,1,2,0,0
אלעד,1309,16075,14367,66,14301,33,5124,0,0,0,0,1,3,0,0,1083,0,1,239,2,0,0,360,0,1,0,29,704,0,0,2,7,71,6,0,1,6,2,6626
אלעזר,3618,1156,987,3,984,11,2,0,0,0,0,0,1,0,0,664,0,1,154,0,0,0,89,0,0,0,16,3,0,0,0,1,23,1,0,0,4,0,14
אלפי מנשה,3750,5300,4070,20,4050,520,25,1,0,2,0,1,50,0,6,383,2,97,1290,91,1,0,57,0,1,0,1068,31,2,0,0,1,49,220,1,1,59,13,78
אלקוש,603,257,146,0,146,10,0,0,0,0,0,0,1,0,0,14,0,2,55,0,0,0,7,0,0,0,15,0,0,0,0,0,7,5,0,0,1,0,29
אלקנה,3560,2448,2064,3,2061,12,14,0,0,0,0,0,4,0,1,1494,0,2,264,3,0,0,135,0,0,0,35,13,0,0,0,1,33,5,0,0,9,1,35
אמונים,772,629,452,1,451,53,0,0,0,0,0,0,8,0,0,26,0,22,124,10,0,0,1,0,0,0,101,2,0,0,0,0,6,27,0,0,4,0,67
אמירים,1064,485,364,2,362,82,4,1,0,0,0,10,18,0,0,20,0,11,26,43,0,0,6,0,0,0,87,1,0,0,0,0,12,21,2,1,10,0,7
אמנון,1253,236,151,2,149,33,0,0,0,0,0,0,4,0,0,24,0,8,34,5,0,0,1,0,0,0,15,0,0,0,0,0,6,8,0,1,2,0,8
אמציה,23,341,275,0,275,8,0,0,0,0,0,0,2,0,0,186,0,3,21,2,0,0,17,0,0,0,11,0,0,0,0,0,9,8,0,0,1,2,5
אניעם,4012,378,260,0,260,63,2,0,0,0,0,0,4,0,0,42,0,6,40,3,0,0,7,0,0,0,53,0,0,0,0,0,3,19,2,1,6,5,4
אסד (שבט),960,381,85,2,83,2,0,32,0,1,0,0,0,0,0,1,0,0,6,1,0,0,1,0,31,0,1,0,0,0,0,0,0,3,0,0,0,0,4
אספר,3754,225,173,1,172,1,60,0,0,0,0,0,0,0,0,55,0,0,2,0,0,0,15,0,0,0,0,6,5,0,0,1,7,0,0,0,0,0,20
אעבלין,529,7578,4487,46,4441,247,16,814,1,0,6,1603,2,0,1,3,2,63,204,59,0,2,2,1,1197,1,14,0,0,0,1,2,5,24,4,5,10,1,151
אעצם (שבט),963,3611,1269,26,1243,4,3,146,1,2,1,35,2,0,1,4,1,0,4,6,2,5,4,0,971,2,3,0,2,0,2,7,3,2,5,5,1,4,15
אפיק,4301,264,177,0,177,57,0,0,0,1,0,1,1,0,2,10,1,3,18,19,0,0,1,0,0,0,44,2,0,0,0,0,0,7,0,0,10,0,0
אפיקים,176,1027,701,2,699,411,0,0,1,2,0,4,9,0,0,19,1,14,27,64,2,0,2,0,0,0,90,0,0,0,0,1,6,33,0,1,10,1,1
אפק,313,398,285,1,284,143,0,0,0,0,0,1,6,0,0,10,0,7,10,18,0,0,0,0,0,0,56,0,0,0,0,0,2,21,0,1,8,0,1
אפרתה,3650,5622,4401,23,4378,69,25,1,1,0,0,2,5,0,1,2594,0,5,961,15,0,1,362,0,1,0,106,12,1,0,0,2,115,18,0,0,25,1,55
ארבל,701,396,272,3,269,52,0,0,0,0,0,0,1,0,1,28,0,22,54,10,0,0,6,0,0,0,53,0,0,0,0,0,7,28,0,0,2,0,5
ארגמן,3598,134,85,5,80,8,0,0,0,1,0,0,2,0,1,13,1,1,21,3,0,0,4,0,0,0,12,1,0,0,1,0,3,7,0,0,0,0,1
ארז,714,388,287,0,287,110,1,0,0,0,0,3,8,0,0,6,0,19,10,41,0,0,0,0,0,0,37,0,0,0,0,0,5,41,0,0,6,0,0
אריאל,3570,13997,9227,160,9067,343,23,5,1,10,2,8,39,0,23,1467,198,64,4844,71,4,6,279,3,0,3,881,52,5,0,7,2,54,164,18,5,251,28,207
אשבול,71,266,189,1,188,11,3,0,0,0,0,0,7,0,0,14,0,22,39,1,0,0,5,0,0,0,22,2,0,0,0,0,0,6,0,0,2,0,54
אשדוד,70,166360,104774,1500,103274,6214,10657,27,20,147,19,29,292,0,305,7319,1596,1439,37325,1103,30,33,1087,76,84,46,10340,488,73,0,83,80,1265,3926,150,46,1204,313,17458
אשדות יעקב  (איחו,199,547,378,1,377,152,0,0,0,2,0,0,10,0,0,18,1,17,33,25,0,1,2,0,0,0,90,0,0,0,0,0,4,19,0,0,3,0,0
אשדות יעקב  (מאוח,188,413,285,3,282,133,0,0,0,0,0,0,4,0,0,16,3,5,15,8,0,0,1,0,0,0,70,0,0,0,0,0,3,18,0,0,2,2,2
אשחר,1188,437,363,0,363,114,1,0,0,0,0,4,4,0,1,86,0,0,47,17,0,0,4,0,0,0,56,1,0,0,0,0,12,10,0,0,3,0,3
אשכולות,3722,322,258,2,256,18,0,0,0,0,0,0,3,0,0,130,2,1,44,0,0,0,3,0,0,0,29,4,0,0,0,0,7,8,0,0,2,0,5
אשל הנשיא,2021,87,56,0,56,13,0,0,0,0,0,0,1,0,0,8,0,1,8,3,0,0,2,0,2,0,6,0,0,0,0,0,4,4,0,0,1,1,2
אשלים,1152,295,197,0,197,45,0,0,0,1,0,0,2,0,0,15,0,20,32,19,0,0,0,0,0,0,36,0,0,0,0,0,6,14,0,0,2,1,4
אשקלון,7100,97100,55235,804,54431,3790,456,17,10,59,17,33,246,0,97,5129,1221,1211,22761,638,26,27,855,31,20,32,5219,557,76,0,85,63,692,2402,62,39,689,163,7708
אשרת,1256,347,233,1,232,23,0,0,0,0,0,0,0,0,0,34,0,4,79,6,0,1,7,1,0,0,27,15,0,0,0,0,5,23,0,0,3,1,3
אשתאול,740,641,500,2,498,30,8,0,0,1,1,1,1,0,0,48,0,3,134,26,0,0,19,0,0,0,49,53,0,0,0,1,22,7,1,1,8,1,83
באקה אל-גרביה,6000,15360,6645,144,6501,1244,1,1680,2,2,1,282,3,0,4,10,2,11,13,107,0,0,3,1,2839,2,11,1,0,0,1,4,21,10,193,35,5,4,9
באר אורה,21,170,138,0,138,25,0,0,0,0,0,3,0,0,0,6,0,3,33,10,0,0,0,0,0,0,37,0,0,0,0,0,3,18,0,0,0,0,0
באר טוביה,155,610,512,5,507,166,0,0,0,0,0,0,6,0,1,18,0,24,35,47,0,0,1,0,0,0,137,0,0,0,0,0,7,57,0,0,7,0,1
באר יעקב,2530,9560,6882,54,6828,852,81,0,0,6,2,2,58,0,8,514,14,158,1869,137,2,4,109,3,8,1,1642,50,0,0,18,9,113,352,4,2,63,17,730
באר שבע,9000,153103,86876,1265,85611,7249,527,98,20,107,24,197,348,0,192,10014,1401,1524,32525,1500,34,42,1398,58,181,46,9432,572,52,0,133,110,1091,4333,68,75,1079,242,10939
בארות יצחק,450,402,267,3,264,16,2,0,1,0,0,0,1,0,1,173,0,1,17,3,0,0,2,0,0,0,14,0,0,0,0,0,21,7,0,0,4,0,1
בארותיים,697,597,488,0,488,100,1,0,0,2,0,0,10,0,1,26,0,11,59,41,0,0,3,0,0,0,164,0,0,0,0,0,10,40,0,0,5,2,13
בארי,399,790,630,4,626,330,0,0,0,0,0,3,10,0,0,15,0,9,20,123,0,0,1,0,0,0,62,0,0,0,0,0,2,43,0,1,6,1,0
בוסתן הגליל,559,422,338,2,336,89,0,0,0,1,0,0,4,0,2,35,0,7,52,16,1,0,6,0,0,0,79,0,0,0,0,0,5,21,0,0,5,1,12
בועיינה-נוג'ידאת,482,5143,3502,37,3465,212,1,1712,1,1,0,382,0,0,1,6,1,45,11,30,1,0,4,1,738,0,97,1,0,0,0,3,70,43,6,3,2,0,93
בוקעאתא,4001,331,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
בורגתה,698,720,570,4,566,112,0,0,0,1,0,0,14,0,1,19,0,27,70,43,0,0,2,0,0,0,178,0,0,0,0,0,4,59,0,1,12,6,17
בחן,2043,445,352,1,351,119,0,0,0,0,0,0,8,0,1,10,0,5,29,35,0,0,1,0,0,0,93,0,0,0,0,0,1,38,0,1,9,1,0
בטחה,762,511,388,2,386,19,8,0,0,0,0,0,0,0,0,100,1,7,121,1,0,0,6,0,0,0,9,12,0,0,0,0,9,4,0,0,1,0,88
ביצרון,234,760,629,3,626,174,1,0,0,0,0,1,8,0,0,28,0,24,73,41,0,0,3,0,0,1,198,0,0,0,0,0,5,54,0,0,7,4,4
ביר אל-מכסור,998,5187,2286,39,2247,240,0,278,0,1,1,145,0,0,1,1,0,208,86,27,3,1,2,2,681,2,22,2,0,0,0,5,2,516,3,2,7,1,8
ביר הדאג',1348,526,363,10,353,0,0,26,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,310,0,1,0,0,0,1,1,0,2,0,0,1,1,5
ביריה,368,552,397,3,394,19,8,0,0,0,0,0,0,0,0,63,0,16,120,4,0,0,16,0,0,1,19,4,0,0,0,3,7,19,0,0,2,1,92
בית אורן,317,268,171,1,170,41,0,0,0,0,0,0,7,0,0,5,0,7,19,28,0,0,3,0,0,0,41,0,0,0,0,0,4,13,0,0,2,0,0
בית אל,3574,3102,2658,5,2653,6,29,0,0,0,0,2,1,0,0,1842,0,1,212,2,0,0,430,0,0,1,7,21,0,0,1,1,22,0,0,1,10,0,64
בית אלעזרי,562,955,721,16,705,123,0,0,0,1,0,2,5,0,0,55,0,26,154,37,0,0,11,0,0,0,145,8,0,0,0,0,8,89,5,0,20,4,12
בית אלפא,95,617,439,4,435,177,0,1,0,0,0,3,15,0,1,4,0,8,15,121,0,1,1,0,0,0,40,3,0,0,0,0,1,33,0,0,4,3,4
בית אריה,3652,2811,2107,11,2096,160,6,0,0,1,0,0,14,0,6,365,0,38,875,17,0,0,42,0,0,0,343,17,0,0,2,0,33,72,2,0,29,17,57
בית ג'ן,480,7364,4266,45,4221,954,0,278,0,1,0,143,2,0,1,15,1,358,846,96,0,0,0,1,15,0,43,6,0,0,0,5,5,791,1,1,7,2,649
בית גוברין,619,234,181,1,180,91,0,0,0,0,0,0,1,0,0,3,0,6,6,28,0,1,1,0,0,0,28,0,0,0,0,0,0,10,0,1,4,0,0
בית גמליאל,571,668,537,3,534,14,11,0,0,1,0,0,2,0,1,317,0,1,78,2,0,0,24,0,0,0,23,3,0,0,0,1,16,4,0,0,2,0,34
בית דגן,466,4717,3445,31,3414,342,26,2,1,3,0,4,16,0,1,404,1,103,1045,57,0,0,61,0,0,2,589,159,3,0,1,3,66,177,0,0,38,7,303
בית הגדי,723,443,334,3,331,3,0,0,0,0,0,0,0,0,0,106,0,1,122,0,0,0,4,1,0,0,4,5,0,0,0,0,7,3,0,0,0,0,75
בית הלוי,373,474,389,1,388,84,0,0,0,0,0,1,16,0,0,16,0,16,48,44,0,0,3,0,0,0,122,0,0,0,1,0,3,28,0,0,5,1,0
בית הלל,322,498,368,0,368,121,1,0,0,0,0,1,5,0,0,22,0,8,23,36,0,0,2,0,1,0,100,0,0,0,0,0,2,40,1,0,4,0,1
בית העמק,572,477,316,2,314,157,0,0,1,1,0,0,11,0,0,6,1,0,29,47,0,0,1,0,1,0,34,0,0,0,0,0,1,15,0,0,6,2,1
בית הערבה,3645,51,46,1,45,8,0,0,0,0,0,0,0,0,0,8,0,0,16,1,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,1,0,1
בית השיטה,242,988,714,2,712,376,0,0,0,0,0,1,17,0,0,23,0,10,35,52,0,0,11,0,0,0,115,0,0,0,0,0,3,58,0,1,6,4,0
בית זיד,353,108,52,1,51,23,0,0,0,1,0,0,1,0,0,0,0,2,4,3,0,0,0,1,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0
בית זית,710,1033,792,6,786,203,9,0,0,0,0,4,19,0,0,52,0,24,104,137,0,0,7,0,2,0,143,0,0,0,1,0,15,43,0,3,8,1,11
בית זרע,143,547,398,4,394,97,0,0,0,0,0,1,5,0,0,5,0,8,15,143,0,0,0,0,1,1,76,0,0,0,0,0,6,31,0,0,4,1,0
בית חורון,3575,670,584,0,584,13,10,0,0,0,0,1,2,0,0,302,0,1,158,3,0,0,40,0,0,1,22,0,0,0,0,1,10,2,0,0,5,1,12
בית חירות,877,554,446,1,445,152,0,0,0,0,0,3,11,0,0,9,0,6,15,62,0,0,0,0,0,0,112,0,0,0,0,0,2,61,0,0,7,4,1
בית חלקיה,2033,347,296,2,294,1,260,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,15
